show,date,name,gender
Face the Nation,1/4/09,Dick Cheney,m
Fox News Sunday,1/4/09,Bill Kristol,m
Fox News Sunday,1/4/09,Mara Liasson,f
Fox News Sunday,1/4/09,Steny H. Hoyer,m
Fox News Sunday,1/4/09,Brit Hume,m
Fox News Sunday,1/4/09,George Bush,m
Fox News Sunday,1/4/09,Juan Williams,m
Meet the Press,1/4/09,Andrea Mitchell,f
Meet the Press,1/4/09,Harry Reid,m
Meet the Press,1/4/09,Katty Kay,f
Meet the Press,1/4/09,Jeffrey Goldberg,m
Meet the Press,1/4/09,David Sanger,m
Meet the Press,1/4/09,Hisham Melham,m
This Week,1/4/09,Katrina vanden Heuvel,f
This Week,1/4/09,Richard J. Durbin,m
This Week,1/4/09,Mitch McConnell,m
This Week,1/4/09,Shimon Peres,m
This Week,1/4/09,Jonathan Karl,m
This Week,1/4/09,George Will,m
This Week,1/4/09,Cokie Roberts,f
Face the Nation,1/11/09,Richard J. Durbin,m
Face the Nation,1/11/09,John A. Boehner,m
Face the Nation,1/11/09,Roland W. Burris,m
Fox News Sunday,1/11/09,Bill Kristol,m
Fox News Sunday,1/11/09,Mara Liasson,f
Fox News Sunday,1/11/09,George Bush,m
Fox News Sunday,1/11/09,George W. Bush,m
Fox News Sunday,1/11/09,Charles Krauthammer,m
Fox News Sunday,1/11/09,Juan Williams,m
Meet the Press,1/11/09,David E. Bonior,m
Meet the Press,1/11/09,Mark Zandi,m
Meet the Press,1/11/09,John Harwood,m
Meet the Press,1/11/09,Maxine Waters,f
Meet the Press,1/11/09,Adrian Fenty,m
Meet the Press,1/11/09,Alvin Poussaint,m
Meet the Press,1/11/09,Paul Gigot,m
Meet the Press,1/11/09,Bethany McLean,f
Meet the Press,1/11/09,Bill Cosby,m
This Week,1/11/09,Peggy Noonan,f
This Week,1/11/09,Thomas Friedman,m
This Week,1/11/09,Barack Obama,m
This Week,1/11/09,George Will,m
This Week,1/11/09,Newt Gingrich,m
Face the Nation,1/18/09,Michael Eric Dyson,m
Face the Nation,1/18/09,John Dickerson,m
Face the Nation,1/18/09,Larry Summers,m
Fox News Sunday,1/18/09,Bill Kristol,m
Fox News Sunday,1/18/09,Robert Gibbs,m
Fox News Sunday,1/18/09,Mara Liasson,f
Fox News Sunday,1/18/09,Brit Hume,m
Fox News Sunday,1/18/09,Nancy Pelosi,f
Fox News Sunday,1/18/09,Juan Williams,m
